Timestamp,Terreno,Duracion(s)
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
